Date,AdjClose,Fluctuation
11/16/17,2585.639893,21.019776
11/17/17,2578.850098,-6.789795
11/20/17,2582.139893,3.289795
11/21/17,2599.030029,16.890136
11/22/17,2597.080078,-1.949951
11/24/17,2602.419922,5.339844
11/27/17,2601.419922,-1
11/28/17,2627.040039,25.620117
11/29/17,2626.070068,-0.969971
11/30/17,2647.580078,21.51001
12/1/17,2642.219971,-5.360107
12/4/17,2639.439941,-2.78003
12/5/17,2629.570068,-9.869873
12/6/17,2629.27002,-0.300048
12/7/17,2636.97998,7.70996
12/8/17,2651.5,14.52002
12/11/17,2659.98999,8.48999
12/12/17,2664.110107,4.120117
12/13/17,2662.850098,-1.260009
12/14/17,2652.01001,-10.840088
12/15/17,2675.810059,23.800049
12/18/17,2690.159912,14.349853
12/19/17,2681.469971,-8.689941
12/20/17,2679.25,-2.219971
12/21/17,2684.570068,5.320068
12/22/17,2683.340088,-1.22998
12/26/17,2680.5,-2.840088
12/27/17,2682.620117,2.120117
12/28/17,2687.540039,4.919922
12/29/17,2673.610107,-13.929932
